"year_month","buildings","revenue","three11","transportation","law","aviation","ethics","environment","police","fire","oemc","health","compliance","procurement","mayor","water","streets","admin.hearing","human.resources","budget","doit","fleet","human.relations","special.events","clerk","cultural.x","comm.dev","planning","animal","police.board","business.affairs","ipra","family","license.commission","disability","chicago.library","cultural.y","treasurer","zoning","graphics","fleet.facilities"
2014-04-01,858,NA,24,40,12,8,NA,NA,NA,778,135,1,NA,15,15,43,197,413,14,NA,9,NA,2,NA,16,NA,NA,66,43,2,120,13,10,NA,NA,NA,NA,2,NA,NA,13
2015-04-01,358,NA,NA,83,24,NA,1,NA,NA,747,143,NA,NA,NA,NA,38,NA,200,4,NA,6,NA,NA,NA,NA,NA,NA,105,65,1,63,1,NA,NA,NA,NA,5,NA,NA,NA,NA
2010-05-01,1976,13,14,60,21,15,3,110,253,125,101,20,5,16,6,29,50,64,14,7,2,5,1,NA,8,NA,15,NA,NA,3,61,5,2,NA,NA,NA,NA,2,54,NA,NA
2011-05-01,1289,23,23,35,4,14,4,130,422,647,125,40,2,20,4,24,155,63,16,7,2,3,4,NA,10,NA,NA,NA,31,2,84,9,2,NA,NA,NA,4,1,NA,NA,NA
2012-05-01,1064,NA,8,63,14,12,1,NA,373,539,116,207,NA,29,5,26,155,73,16,NA,4,NA,2,NA,7,NA,NA,65,60,3,103,11,2,NA,NA,NA,NA,1,NA,NA,5
2013-05-01,932,NA,24,58,10,9,1,NA,456,736,125,14,NA,20,4,32,189,96,13,NA,3,NA,1,NA,14,NA,NA,92,53,2,132,3,4,NA,NA,1,1,NA,NA,NA,10
2014-05-01,767,NA,18,58,21,12,5,NA,NA,709,154,NA,NA,16,16,38,172,408,7,2,3,NA,NA,NA,13,NA,NA,76,65,2,136,28,6,1,NA,4,3,1,NA,NA,8
2015-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2023-05-01,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-01,961,2,23,70,12,15,11,123,325,98,100,12,NA,8,8,27,90,70,11,7,1,14,3,2,13,26,28,NA,NA,5,91,7,4,NA,NA,1,NA,2,51,1,NA
2011-06-01,1006,4,15,26,7,8,11,98,443,631,139,30,8,28,5,23,157,86,19,11,1,5,2,NA,6,NA,NA,NA,23,NA,88,8,8,NA,NA,NA,3,NA,NA,NA,NA
2012-06-01,981,NA,9,53,5,9,33,NA,364,630,124,203,NA,14,21,18,199,86,6,NA,4,NA,2,NA,9,NA,NA,55,111,2,88,16,2,NA,NA,NA,2,NA,NA,NA,2
2013-06-01,794,NA,17,43,9,9,NA,NA,392,611,140,6,NA,13,6,27,161,113,10,NA,2,NA,1,NA,6,NA,NA,54,32,2,117,8,4,NA,NA,NA,1,NA,NA,NA,NA
2014-06-01,908,NA,21,58,14,14,1,NA,NA,701,138,NA,NA,7,7,41,152,503,12,3,6,NA,1,NA,28,NA,NA,71,52,2,151,13,NA,NA,NA,3,2,3,NA,NA,10
13-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901-07-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-01,1868,12,11,58,4,17,1,102,347,124,121,16,2,12,NA,21,119,57,13,8,3,4,4,1,12,NA,9,NA,NA,3,66,5,8,NA,NA,NA,NA,1,47,NA,NA
2011-07-01,712,20,19,18,7,16,12,52,422,529,129,40,3,10,7,20,167,64,18,2,2,1,3,NA,4,NA,NA,NA,28,NA,90,10,8,NA,NA,1,NA,2,NA,NA,NA
2012-07-01,749,NA,17,44,5,15,4,NA,354,668,147,187,NA,19,9,30,244,93,19,NA,4,NA,2,NA,22,NA,NA,74,116,6,97,11,8,1,3,2,3,NA,NA,NA,6
2013-07-01,964,NA,20,56,10,5,2,NA,449,719,140,19,NA,22,9,27,230,98,18,NA,2,NA,1,NA,11,NA,NA,94,64,4,117,8,6,NA,NA,NA,5,2,NA,NA,5
2014-07-01,1018,NA,19,98,17,11,3,NA,NA,874,137,NA,NA,27,12,28,203,491,13,7,8,NA,1,NA,12,NA,NA,59,76,7,107,39,NA,NA,NA,3,3,NA,NA,NA,6
113-07-02,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
